EAN_CODE,PRODUCT_NAME,PRODUCT_PRICE,SELLING_PRICE,DISCOUNT,INVENTORY_QTY
8904417306576,DERMACO FACE WASH  2%SALI-CINAMIDE ANTI -ACNE 80 ML,499,499,10,100
8904417319637,DERMACO  FACE WASH 2% SALI CINAMIDE ANTI ACNE 50ML,399,399,10,87
8904417306248,DERMACO FACEWASH 1% KOJIC ACID 100ML,399,399,10,67
8906087775713,DERMACO SUNSCREEN 1% HYALURONIC AQUA GEL SPF 50 50GM,399,399,10,56
8904417307269,DERMACO SUNSCREEN 1%HYALURONIC AQUA GEL SPF50 30GM,499,499,10,48
8906087775645,DERMACO FACE WASH  GEL 1% SALICYLIC ACID 100ML,299,299,10,48
8906087779308,DERMACO FACEWASH OIL FREE 100ML,399,399,10,47
8904417307139,DERMACO FACE SERUM 2% KOJIC ACID 10ML,299,299,10,47
8904417313437,DERMACO FACE SERUM SALI CINAMIDE ANTI-ACNE 10 ML,299,299,10,46
8904417316056,DERMACO GEL FACE WASH 2% SALICYLIC ACID 100ML,299,299,10,43
8906087779292,DERMACO OIL FREE DAILY FACE MOISTURIZER 100G,299,299,10,41
8906087772040,DERMACO FACE SERUM 10% NIACINAMIDE 30ML,599,599,10,40
8904417306521,DERMACO FACE SERUM SALI-CINAMIDE ANTI-ACNE 30 ML,599,599,10,39
8904417311662,DERMACO SUNSCREEN 1% HYALURONIC LONG LASTING 50GM,599,599,10,36
8904417309171,DERMACO 2%NIACINAMIDE GENTLE SKIN CLEANSER 125ML,299,299,10,35
8904417307146,DERMACO FACE SERUM 2% SALICYLIC ACID 10ML,599,599,10,35
8906087776024,DERMACO FACE MOISTURIZER OIL FREE 1% SALICYLIC ACID 50G,499,499,10,35
8904417313000,DERMACO FACE WASH 2% SALI-CINAMIDE 30ML,399,399,10,32
8906087772095,DERMACO SUNSCREEN GEL ULTRA MATTE 50GM,499,499,10,29
8906087778363,DERMACO SUNSCREEN 1% HYALURONIC TINTED GEL SPF60 50G,599,599,10,28
8904417315141,DERMACO FACE WASH 2% SALI CINAMIDE ANTI ACNE 150ML,399,399,10,28
8904417302578,DERMACO FACE MOISTURIZER OIL FREE 5% VITAMIN C 100G,299,299,10,28
8904417307771,DERMACO GEL FACE WASH  2% VITAMIN C 80ML,299,299,10,26
8906087773849,DERMACO FACE SERUM 2% SALICYLICACID 30ML,599,599,10,25
8904417306231,DERMACO SUNSCREEN 1%HYALURONIC AQUA GEL SPF 50 80GM,699,699,10,24
8906087775690,DERMACO FACE SERUM 10% VITAMIN C 10 ML,399,399,10,22
8904417309188,DERMACO 2%NIACINAMIDE OILY-SKIN CLEANSER 125ML,299,299,10,21
8906087775706,DERMACO PEELING FACE SOLUTION 15%AHA  + 1%BHA 30ML,499,499,10,20
8904417309799,DERMACO LIP BALM 1%CERAMIDE COMPLEX SPF30 4G,399,399,10,20
8904417316063,DERMACO FACE SERUM 15% VITAMIN C 30 ML,699,699,10,19
8904417308501,DERMACO LIP BALM 1% KOJIC ACID 4GM,399,399,10,18
8904417316926,DERMACO  MOISTURIZER 5% NIA-CERAMIDE 100G,299,299,10,18
8904417314755,DERMACO FACE WASH 1% KOJIC ACID 150ML,299,299,10,18
8906087772057,DERMACO FACE SERUM 20% VITAMIN C 20ML,599,599,10,17
8904417317718,DERMACO 1% VITAMIN C BRIGHTENING LIP BALM,299,299,10,16
8906087778042,DERMACO FACE SERUM PORE MINIMIZING 30ML,599,599,10,12
8904417311907,DERMACO SUNSCREEN PORE MINIMIZING SPF 50 80G,599,599,10,10
8904417319538,DERMACO SUNSCREEN 1%HYALURONIC OIL-FREE GEL 50GM,599,599,10,9
8906087772064,DERMACO FACE CREAM 2% KOJIC ACID 30GM,299,299,10,8
8906087776604,DERMACO FACE SERUM 2% KOJIC ACID 30ML,699,699,10,8
8906087773740,DERMACO FACE SERUM 0.3% RETINOL 30ML,699,699,10,7
8906087775607,DERMACO FACE SERUM 10% VITAMIN C 30ML,699,699,10,7
8906087778677,DERMACO FACE SERUM 5% NIACINAMIDE 30ML,699,699,10,6
8904417303131,DERMACO SUNSCREEN PORE MINIMIZING PRIMING 50G,699,699,10,6
8904417301649,DERMACO BODY SERUM LOTION1% SALICYLIC ACID EXFOLIATING 250ML,599,599,10,5
8906087772002,DERMACO FACE CLEANSER CREAMY 100ML,499,499,10,3
8904417300123,DERMACO SOAP KOJIC ACID+ GLUTATHIONE 75G X 2N,199,199,10,2
8906087772026,DERMACO FACE GEL 5% AHA BHA 30GM,299,299,10,1
8904417300604,DERMACO 3% KOJIC ACID DARK SPOT CORRECTOR GEL 30G,349,349,10,1
8904417303148,DERMACO BB CREAM 2% NIACINAMIDE 30GM,349,349,10,1
8904417306217,DERMACO SUNSCREEN 1% HYALURONIC TINTED GEL 30G,499,499,10,1
8906087776437,DERMACO FACE WASH GEL 1% SALICYLIC ACID 30ML,299,299,10,1
8906087774808,DERMACO FACEWASH  3% NIACINAMIDE FOAMING 100ML,299,299,10,
8906087774105,DERMACO PEELING FACE SOLUTION 30%AHA+2% BHA 30ML,499,499,10,
8906087775584,DERMA CO FACE SERUM 15% NIACINAMIDE 30ML,499,499,10,
8906087774785,DERMACO FACE CLEANSER CREAMY 30ML,299,299,10,
8906087774488,DERMACO FACE SERUM 0.1% RETINOL 30ML,499,499,10,
8904417301656,DERMACO BODY SERUM LOTION 2% VITAMIN E HYDRATING 250ML,299,299,10,
8906087772972,DERMACO HAIR SERUM MULTI-PEPTIDE 60ML,399,399,10,
8906087778059,DERMACO MOISTURIZER DAILY PORE MINIMIZING 50G,399,399,10,
8906087772019,DERMACO FACE WASH FOAMING 3%AHA-BHA 100ML,299,299,10,
8906087778547,DERMACO FACEWASH 2% CICA GLOW 100ML,299,299,10,
8906087772965,DERMACO SHAMPOO ANTI HAIRFALL 200ML,299,299,10,
8904417311495,DERMACO SERUM SNAIL PEPTIDE 96 HYDRATING 80ML,499,499,10,
8906087777038,DERMACO FACE WASH 2% VITAMIN C GEL 100ML,299,299,10,
8906087774792,DERMACO SUNSCREEN GEL ULTRA MATTE 10GM,499,499,10,
8906087776017,"DERMACO MICRO TIP SALYCYLIC ACID PATCHES 24""S",199,199,10,
8904417300246,DERMACO SUNSCREEN GEL HYALURONIC INVISIBLE SPF 50 50GM,599,599,10,
8904417301076,DERMACO FACEWASH FOAMING 1% SALICYLIC ACID 100ML,299,299,10,
8904417303650,DERMACO SUNSCREEN MATTIFYING 100% MINERAL POWDER SPF50 4G,599,599,10,
8906087778066,DERMACO FACEWASH PORE MINIMIZING CLAY 100ML,299,299,10,
8906087778684,DERMACO FACE SERUM 5% VITAMIN C DAILY 30ML,399,399,10,
8906087773825,DERMACO FACE TONER 5% NIACINAMIDE 200ML,299,299,10,
8906087775287,DERMACO FACE MASK 5% NIACINAMIDE 50GM,399,399,10,
8906087775737,DERMACO FACE MOISTURIZER 25% VITAMIN C 30G,299,299,10,
8906087774495,DERMACO FACE MASK 2% SALICYLIC ACID 50GM,199,199,10,
8906087776093,DERMACO FACE MOISTURIZER 3% VITAMIN E 100G,299,299,10,
8906087778561,DERMACO FACE MOISTURIZER 5% CICA GLOW DAILY 50G,299,299,10,
8906087774778,DERMACO FACE MOISTURIZER CERAMIDE+HA INTENSE 25GM,299,299,10,
8906087776642,DERMACO FACE MOISTURIZER 3% VITAMIN E 30GM,299,299,10,
8906087776727,DERMACO FACE GEL 2% SALICYLIC ACID 30ML,299,299,10,
8906087772385,DERMACO FACE CREAM FRUIT AHA REVITALIZER 50GM,299,299,10,
8906087776765,DERMACO FACE CREAM 4% CERAMIDE COMPLEX 30ML 499RS,299,299,10,
8904417301632,DERMACO BODY SERUM LOTION 1% KOJIC ACID DAILY GLOW 250ML,299,299,10,
8906087778622,DERMACO BODYWASH 1% CERAMIDE OAT COMPLEX 250ML,299,299,10,
8906087778608,DERMACO BODYWASH 1% SALICYLIC ACID EXFOLIATING 250ML,299,299,10,
8906087776741,DERMACO CLEANSER CONCENTRATE AHA-BHA 100ML,399,399,10,
8906087777755,DERMACO FACE CLEANSER 1% CERAMIDE MILKY JELLY 100ML,299,299,10,
8906087772071,DERMACO FACE MOISTURIZER CERAMIDE+HA INTENSE 50GM,299,299,10,
8906087776775,DERMACO FACE CREAM 4% CERAMIDE COMPLEX 30ML,299,299,10,
8906087773467,DERMACO FACE CREAM 10% LACTIC ACID 30GM,299,299,10,
8906087773450,DERMACO FACE TONER 7% GLYCOLIC ACID 200ML,299,299,10,
8906087772088,DERMACO FACE MOISTURIZER OIL FREE SQUALANE+ZINC 30GM,299,299,10,
8906087778554,DERMACO FACE SERUM 10% CICAGLOW 30ML,399,399,10,
8906087777069,DERMACO FACE SHEET MASK 1.5%AHA+BHA 20GM,199,199,10,
8906087777045,DERMACO FACE SHEET MASK 1% COLLAGEN+PEPETIDES 20GM,199,199,10,
8906087777700,DERMACO FACE SERUM CREAM 1% COLLAGEN DAILY  50GM,499,499,10,
8906087777076,"DERMACO FACE SHEET MASK 1% KOJIC +ARBUTING 1""S",199,199,10,
8906087777052,"DERMACO FACE SHEET MASK 5% NIACINAMIDE 1""S",199,199,10,
8906087777649,DERMACO FACE SOLUTION 2% BHA EXFOLIANT 50ML,499,499,10,
8906087777083,DERMACO FACE SHEET MASK 1%SALICYLIC ACID 20G,199,199,10,
8906087779131,DERMACO SUNSCREEN SERUM 1% HYALURONIC 30ML,699,699,10,
8906087776451,DERMACO FACE SERUM 4% VITAMIN E 30ML,699,699,10,
8906087776031,DERMACO FACE SERUM 3% COLLAGEN +PEPTIDES 30ML,699,699,10,
8906087775058,DERMACO FACE SERUM 10% NIACINAMIDE 10ML,399,399,10,
8906087776505,DERMACO FACE SERUM 10% PHA 30ML,499,499,10,
8904417300062,DERMACO FACE SERUM 1% SALICYLIC+HYALURONIC NIGHT REPAIR 50G,499,499,10,
8906087774624,DERMACO FACE SERUM 2% ALPHA ARBUTIN 30ML,499,499,10,
8906087776567,DERMACO FACE SERUM 2% GLUTATHIONE 30ML,499,499,10,
8906087772996,DERMACO FACESERUM 10% AZELAIC ACID 30ML,499,499,10,
8906087774525,DERMACO FACE SERUM 2% HYALURONIC ACID 30ML,499,499,10,
8906087774501,DERMACO FACE SERUM 2% GRANACTIVE RETINOID 30ML,499,499,10,
8906087773863,DERMACO UNDER EYE SERUM 5% CAFFEINE 15ML,699,699,10,
